time,temp31,temp180,humi,pressure,altitude,smoke,fire_alarm
15:33:38.735881,28.185702296482802,23.61746624495003,49.323262378881516,1024.7827597569642,-95.58,0.41,0
15:33:39.148178,28.169680323491264,23.577685884480374,49.330891889829864,1024.6598077115445,-94.56,0.42,0
15:33:39.558014,28.15632867933165,23.577685884480374,49.31868467231251,1024.6560612465373,-94.53,0.42,0
15:33:40.318703,28.185702296482802,23.585642682408,49.286640726329445,1024.6986368381006,-94.88,0.42,0
15:33:40.729832,28.185702296482802,23.569728723404257,49.286640726329445,1024.6247245537309,-94.27,0.42,0
15:33:41.134962,28.169680323491264,23.577685884480374,49.27290760662242,1024.6410753877444,-94.41,0.18,0
15:33:41.547972,28.169680323491264,23.56177119906373,49.285114824139775,1024.589640830969,-93.98,0.42,0
15:33:41.943865,28.142977035172052,23.569728723404257,49.248493171587704,1024.6322173475282,-94.33,0.18,0
15:33:42.354314,28.126955062180514,23.577685884480374,49.280537117570766,1024.6298359949478,-94.31,0.41,0
15:33:42.772663,28.126955062180514,23.577685884480374,49.18593118181125,1024.6523147816538,-94.5,0.41,0
15:33:43.184775,28.100251773861302,23.569728723404257,49.26222629129473,1024.6247245537309,-94.27,0.42,0
15:33:43.596561,28.126955062180514,23.585642682408,49.25459678034638,1024.6611715094439,-94.57,0.42,0
15:33:44.357091,28.126955062180514,23.569728723404257,49.23170824750134,1024.6097389676197,-94.15,0.42,0
15:33:45.834560,28.1136034180209,23.56177119906373,49.243915465018695,1024.615865133344,-94.2,0.42,0
15:33:46.248830,28.1136034180209,23.577685884480374,49.25459678034638,1024.6673006419296,-94.62,0.42,0
15:33:46.667239,28.126955062180514,23.577685884480374,49.245441367208365,1024.6897794360514,-94.81,0.42,0
15:33:47.435447,28.126955062180514,23.569728723404257,49.25459678034638,1024.6809205192603,-94.74,0.42,0
15:33:47.849669,28.1136034180209,23.569728723404257,49.25459678034638,1024.677174120693,-94.71,0.42,0
15:33:48.261829,28.07087815671015,23.577685884480374,49.248493171587704,1024.7010188347808,-94.9,0.41,0
